Artist Name,Venue*,Country*,Address,City*,Region*,Postal Code,Timezone*,Start Date* (yyyy-mm-dd),Start Time* (HH:MM),End Date,End Time,Streaming Link,Ticket Link,Ticket Type,Ticket Link 2,Ticket Type 2,On-Sale Date,On-Sale Time,Lineup,Event Name,Event Display Format,Description,Schedule Date,Schedule Time,Do Not Announce,Setlist,Event Image,Event Id,Status
Nanowar Of Steel,Rock The Lakes,Switzerland,Rte de Montmagny 16,Cudrefin,,1588,,2025-08-15,19:00,,,,,,,,,,,Rock The Lakes 2025,Event Name,,,,N,,,106370898,PUBLISHED
Nanowar Of Steel,O13,Netherlands,,TILBURG,6,,Europe/Berlin,2026-01-09,19:00,,,,https://tickets.013.nl/57a0d755c5fc45d4a3b38636d95a5dd1,TICKETS,,,,,, Motocultor Across Europe,Venue Name,A fun evening of great music.,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953544,PUBLISHED
Nanowar Of Steel,Matrix,Germany,,BOCHUM,7,,Europe/Berlin,2026-01-10,19:00,,,,http://www.eventim.de/event/nanowar-of-steel-matrix-20309427/,TICKETS,,,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953546,PUBLISHED
Nanowar Of Steel,The Black Lab,France,,LILLE,32,,Europe/Berlin,2026-01-11,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953529,PUBLISHED
Nanowar Of Steel,Yardbirds,United Kingdom,,GRIMSBY,ENG,,Europe/Berlin,2026-01-13,19:00,,,,https://www.seetickets.com/event/nanowar-of-steel-uuhai/yardbirds-club/3429191,TICKETS,,,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953550,PUBLISHED
Nanowar Of Steel,The 1865,United Kingdom,,SOUTHAMPTON,ENG,,Europe/Berlin,2026-01-14,19:00,,,,https://www.ticketweb.uk/event/motocultor-festival-feat-nanowar-of-the-1865-tickets/14498773?pl=the1865,TICKETS,https://www.seetickets.com/event/motocultor-festival-feat-nanowar-of-steel/1865/3426703?aff=id1bandsintown,collections,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953536,PUBLISHED
Nanowar Of Steel,O2 Academy Islington,United Kingdom,,London,United Kingdom,N1 0PS,Europe/Berlin,2026-01-15,19:00,,,,https://link.dice.fm/n468184578f6,collections,https://ticketmaster-uk.tm7560.net/c/219208/431521/7560?u=https%3A%2F%2Fwww.ticketweb.uk%2Fevent%2Fmotocultor-festival-across-europe-tour-o2-academy-islington-tickets%2F13772904%3FREFERRAL_ID%3Dtmfeed&utm_medium=affiliate,collections,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953533,PUBLISHED
Nanowar Of Steel,Le Forum,France,,VAUREAL,11,,Europe/Berlin,2026-01-16,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953552,PUBLISHED
Nanowar Of Steel,CCM John Lennon,France,,LIMOGES,75,,Europe/Berlin,2026-01-17,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953531,PUBLISHED
Nanowar Of Steel,Rocher de Palmer,France,,BORDEAUX,75,,Europe/Berlin,2026-01-18,19:00,,,,https://access-live.net/agenda/nanowar-steel-uuhai,TICKETS,,,,,, Motocultor Across Europe,Venue Name,,,,N,,https://photos.bandsintown.com/large/21626214.jpeg,106953532,PUBLISHED
